trial_id,server_received_connection_time,server_computation_start_time,server_computation_end_time,server_sent_data_time,client_received_time,start_time,client_connection_finished_time,client_setup_start_time,client_setup_finished_time,client_computation_start_time,client_computation_finish_time,prediction
573,1679442408.1520333,1679442408.1520333,1679442408.611977,1679442408.6130126,1679442408.684924,1679442408.1505377,1679442408.1520333,1679442408.1520333,1679442408.1520333,1679442408.6859207,1679442410.438346,0
574,1679442410.4404283,1679442410.4404283,1679442410.8422575,1679442410.8422575,1679442410.9358573,1679442410.4393513,1679442410.4393513,1679442410.4393513,1679442410.4404283,1679442410.9358573,1679442412.5128126,0
575,1679442412.5158024,1679442412.5158024,1679442412.9293125,1679442412.9303093,1679442413.0148494,1679442412.5138092,1679442412.514817,1679442412.514817,1679442412.5158024,1679442413.0148494,1679442414.588293,0
576,1679442414.59036,1679442414.59036,1679442415.0323937,1679442415.0333753,1679442415.113708,1679442414.5892897,1679442414.59036,1679442414.59036,1679442414.59036,1679442415.113708,1679442416.6113105,0
577,1679442416.613607,1679442416.613607,1679442417.0530381,1679442417.0540347,1679442417.1181552,1679442416.6126103,1679442416.613607,1679442416.613607,1679442416.613607,1679442417.1181552,1679442418.7263293,0
578,1679442418.7295516,1679442418.7295516,1679442419.1223986,1679442419.1233976,1679442419.211186,1679442418.728524,1679442418.7295516,1679442418.7295516,1679442418.7295516,1679442419.2122028,1679442420.9135692,0
579,1679442420.9155571,1679442420.9155571,1679442421.3844602,1679442421.3854566,1679442421.4505877,1679442420.914565,1679442420.9155571,1679442420.9155571,1679442420.9155571,1679442421.4505877,1679442423.0139306,0
580,1679442423.0171025,1679442423.0171025,1679442423.4368231,1679442423.4368231,1679442423.5166388,1679442423.0149453,1679442423.0171025,1679442423.0171025,1679442423.0171025,1679442423.5166388,1679442425.0213387,0
581,1679442425.0233326,1679442425.0243282,1679442425.4256256,1679442425.4266222,1679442425.4954815,1679442425.0223353,1679442425.0233326,1679442425.0233326,1679442425.0243282,1679442425.4954815,1679442426.9745657,0
582,1679442426.9775538,1679442426.9775538,1679442427.4786851,1679442427.4796822,1679442427.5705411,1679442426.975562,1679442426.9775538,1679442426.9775538,1679442426.9775538,1679442427.5705411,1679442429.1428218,0
583,1679442429.1457212,1679442429.1457212,1679442429.5145192,1679442429.515516,1679442429.579303,1679442429.1438015,1679442429.144736,1679442429.144736,1679442429.1457212,1679442429.5802984,1679442431.151841,0
584,1679442431.1537478,1679442431.1537478,1679442431.6531746,1679442431.6541717,1679442431.7284374,1679442431.152828,1679442431.1537478,1679442431.1537478,1679442431.1537478,1679442431.7284374,1679442433.3068871,0
585,1679442433.3092544,1679442433.3092544,1679442433.714201,1679442433.7151985,1679442433.7855618,1679442433.3078852,1679442433.3092544,1679442433.3092544,1679442433.3092544,1679442433.7855618,1679442435.3444526,0
586,1679442435.3463578,1679442435.3473563,1679442435.7475052,1679442435.748502,1679442435.8275278,1679442435.3454373,1679442435.3463578,1679442435.3463578,1679442435.3473563,1679442435.8275278,1679442437.3794286,0
587,1679442437.3813393,1679442437.3823342,1679442437.8716383,1679442437.8736506,1679442437.964217,1679442437.3804178,1679442437.3813393,1679442437.3813393,1679442437.3813393,1679442437.9652169,1679442439.5128493,0
588,1679442439.5150607,1679442439.5150607,1679442439.9290042,1679442439.930041,1679442440.0219016,1679442439.5138462,1679442439.5150607,1679442439.5150607,1679442439.5150607,1679442440.0219016,1679442441.602039,0
589,1679442441.6039598,1679442441.6049533,1679442442.0620036,1679442442.0639973,1679442442.1335201,1679442441.6039598,1679442441.6039598,1679442441.6039598,1679442441.6039598,1679442442.134517,1679442443.7654204,0
590,1679442443.7675142,1679442443.7675142,1679442444.1787817,1679442444.1797783,1679442444.2641041,1679442443.7665067,1679442443.7675142,1679442443.7675142,1679442443.7675142,1679442444.2651105,1679442445.859565,0
591,1679442445.861561,1679442445.861561,1679442446.2133825,1679442446.2143798,1679442446.279715,1679442445.8605614,1679442445.861561,1679442445.861561,1679442445.861561,1679442446.2807117,1679442447.8279727,0
592,1679442447.830884,1679442447.830884,1679442448.2145119,1679442448.2155085,1679442448.3030598,1679442447.829889,1679442447.830884,1679442447.830884,1679442447.830884,1679442448.3030598,1679442449.894075,0
593,1679442449.8960683,1679442449.8970659,1679442450.3583627,1679442450.3594468,1679442450.4284444,1679442449.8950715,1679442449.8960683,1679442449.8960683,1679442449.8970659,1679442450.4284444,1679442451.9587362,0
594,1679442451.961725,1679442451.961725,1679442452.3157768,1679442452.3167744,1679442452.37786,1679442451.960758,1679442451.960758,1679442451.960758,1679442451.960758,1679442452.37786,1679442453.9651892,0
595,1679442453.9671826,1679442453.9671826,1679442454.3920412,1679442454.3930378,1679442454.4617212,1679442453.966186,1679442453.9671826,1679442453.9671826,1679442453.9671826,1679442454.462739,1679442456.0275128,0
596,1679442456.0295365,1679442456.0305395,1679442456.528889,1679442456.529886,1679442456.5976624,1679442456.0285265,1679442456.0295365,1679442456.0295365,1679442456.0295365,1679442456.5976624,1679442458.209547,0
597,1679442458.2115462,1679442458.2115462,1679442458.6010022,1679442458.601999,1679442458.676181,1679442458.2105448,1679442458.2115462,1679442458.2115462,1679442458.2115462,1679442458.676181,1679442460.2457764,0
598,1679442460.2477698,1679442460.248767,1679442460.6648886,1679442460.665885,1679442460.7266066,1679442460.2477698,1679442460.2477698,1679442460.2477698,1679442460.2477698,1679442460.7266066,1679442462.3034837,0
599,1679442462.3055956,1679442462.3055956,1679442462.8851557,1679442462.8861525,1679442462.9726233,1679442462.3045795,1679442462.3055956,1679442462.3055956,1679442462.3055956,1679442462.9726233,1679442464.659075,0
600,1679442464.6610854,1679442464.6610854,1679442465.067123,1679442465.067123,1679442465.143871,1679442464.6600842,1679442464.6610854,1679442464.6610854,1679442464.6610854,1679442465.143871,1679442466.6939387,0
601,1679442466.6959324,1679442466.6959324,1679442467.1303163,1679442467.1313133,1679442467.2046704,1679442466.6949353,1679442466.6959324,1679442466.6959324,1679442466.6959324,1679442467.2046704,1679442468.7702491,0
602,1679442468.772417,1679442468.772417,1679442469.2890153,1679442469.2900121,1679442469.3666763,1679442468.771335,1679442468.772417,1679442468.772417,1679442468.772417,1679442469.3666763,1679442470.9520168,0
603,1679442470.9550016,1679442470.9550016,1679442471.4215648,1679442471.4225612,1679442471.515245,1679442470.9540062,1679442470.9550016,1679442470.9550016,1679442470.9550016,1679442471.5166554,1679442473.1260254,0
604,1679442473.1279244,1679442473.1279244,1679442473.5847542,1679442473.5857508,1679442473.648455,1679442473.1270106,1679442473.1279244,1679442473.1279244,1679442473.1279244,1679442473.648455,1679442475.2207203,0
